Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,44.299999,45.480000,43.480000,45.029999,45.029999,401300
2022-06-22,43.869999,45.090000,43.049999,43.380001,43.380001,388900
2022-06-23,43.439999,43.630001,41.400002,41.650002,41.650002,475700
2022-06-24,42.340000,43.220001,41.320000,42.700001,42.700001,1698000
2022-06-27,43.240002,44.439999,42.470001,43.279999,43.279999,357700
2022-06-28,43.759998,44.730000,41.790001,41.799999,41.799999,331200
2022-06-29,41.599998,41.990002,40.020000,41.119999,41.119999,406800
2022-06-30,40.430000,41.330002,39.810001,40.349998,40.349998,446400
2022-07-01,40.080002,40.779999,37.869999,39.130001,39.130001,799500
2022-07-05,38.340000,38.990002,37.009998,38.990002,38.990002,401800
2022-07-06,38.779999,39.310001,37.759998,39.099998,39.099998,350100
2022-07-07,39.619999,40.700001,39.619999,40.380001,40.380001,331100
2022-07-08,40.160000,40.930000,39.779999,40.459999,40.459999,230700
2022-07-11,40.340000,40.680000,39.959999,40.360001,40.360001,218700
2022-07-12,40.290001,41.230000,40.250000,40.680000,40.680000,251600
2022-07-13,40.419998,41.450001,39.950001,41.099998,41.099998,221000
2022-07-14,40.610001,41.119999,39.630001,41.049999,41.049999,257100
2022-07-15,42.279999,42.660000,41.330002,42.160000,42.160000,378900
2022-07-18,42.720001,43.500000,42.400002,42.500000,42.500000,373200
2022-07-19,43.090000,44.590000,42.810001,43.759998,43.759998,326700
2022-07-20,44.250000,45.820000,43.599998,45.570000,45.570000,479000
2022-07-21,53.810001,53.990002,50.189999,51.630001,51.630001,2105900
2022-07-22,50.919998,52.320000,50.410000,50.720001,50.720001,621700
2022-07-25,51.060001,52.570000,50.610001,52.480000,52.480000,443900
2022-07-26,52.400002,53.450001,51.310001,51.700001,51.700001,405000
2022-07-27,51.689999,51.750000,50.860001,51.380001,51.380001,417300
2022-07-28,51.810001,53.299999,50.259998,53.130001,53.130001,380100
2022-07-29,53.259998,55.150002,52.560001,54.009998,54.009998,548200
2022-08-01,53.900002,56.599998,53.450001,55.240002,55.240002,530300
2022-08-02,54.810001,56.419998,54.090000,56.160000,56.160000,422400
2022-08-03,56.400002,58.110001,55.820000,57.250000,57.250000,439800
2022-08-04,57.619999,59.740002,56.990002,59.130001,59.130001,509800
2022-08-05,58.500000,60.310001,58.000000,59.090000,59.090000,573600
